num;u;u_true;abs(u - u_true)
0;0;0;0
1;-1,11022e-16;0;1,11022e-16
2;-1,33333;0;1,33333
3;-2,22045e-16;0;2,22045e-16
4;0;0;0
5;0;0;0
6;1;1;0
7;0,666667;2;1,33333
8;3;3;0
9;4;4;0
10;0;0;0
11;2;2;0
12;2,26667;4;1,73333
13;6;6;0
14;8;8;0
15;0;0;0
16;3;3;0
17;-1,33333;6;7,33333
18;9;0;9
19;12;0;12
20;0;0;0
21;4;4;0
22;0,666667;8;7,33333
23;12;0;12
24;16;0;16
error;10,6825
error_otn;0,356083
