num;u;u_true;abs(u - u_true)
0;0;0;0
1;-3.29876e-16;0;3.29876e-16
2;0;0;0
3;0;0;0
4;0;0;0
5;0;0;0
6;1;1;2.22045e-16
7;2;2;0
8;0;3;3
9;0;4;4
10;0;0;0
11;2;2;2.22045e-16
12;4;4;0
13;6;6;2.66454e-15
14;8;8;0
15;0;0;0
16;3;3;4.44089e-16
17;6;6;8.88178e-16
18;9;9;1.77636e-15
19;12;12;0
20;0;0;0
21;4;4;4.44089e-16
22;8;8;8.88178e-16
23;12;12;1.77636e-15
24;16;16;0
